,R1,R2,R3
S154,0.7960353531687265,,
S155,0.5701163641832835,,
S156,2.614533500378962,,
S157,0.6627267663379157,,
S158,0.5594519779308594,,
S159,0.5266758936728932,,
S160,1.2511343070640728,,
S161,2.747505836756752,,
S162,0.998378323742631,,
S163,0.4559105737657281,,
S164,0.5574870336865307,,
S165,0.6493337700380577,0.5162925656717424,0.7971120938784113
S166,0.5145902194370192,,
S167,0.5232661898687505,,
S168,2.9451458693278383,,
S169,0.749608757758002,1.063159675951106,1.0687937461543475
S170,0.8462627322743408,0.9989856897532159,
S171,1.309458335871415,1.5219706941478262,
S172,1.0991571097077582,,
S173,1.4040255857688226,,
S174,1.8193008880519517,,
S175,1.0452279843113375,,
S176,0.4696600566338243,,
S177,0.5691300223672451,,
S178,1.343852155261613,,
S179,4.06534005428545,,
S180,0.9382169648208981,,
S181,,,
S182,0.6005559965860392,,
S183,4.213482187121409,,0.7044866897798541
S184,,,
S185,,,
S186,1.4379888172618516,,
S187,0.8004389700634601,,
S188,,,
S189,0.6849355562484256,,
S190,1.6325437651712433,,
S191,0.6061248535664483,,
S192,1.4699048810882913,,
S193,,,
S194,1.236231898618275,,
S195,,,
S196,1.2524081052333285,,
S197,0.5506171031711972,,
S198,4.341527482094515,,
S199,1.2239819851280933,1.40135184159204,1.8237794615997174
S200,,,
S201,1.6048936595949883,1.7072337517663545,0.9934222065837032
S202,,,
S203,0.7303321519440213,,
S204,,,
S205,0.5835397184549354,,
S206,0.9001373598009259,,
S207,0.4786920731664949,,
S208,4.052885335128946,,
S209,0.42316999283046297,,0.5047523655662502
S210,1.0659210742355032,,
S211,0.8847446835868139,,
S212,0.45975062662949073,,
S213,1.7264687234919236,,
S214,0.419549436835304,0.534605275767768,
S215,0.4077633775558341,,
S216,0.8246619557762378,,0.8153237258156288
S217,0.8935356295047159,,
S218,1.2405790564046248,,
S219,1.5102259881765348,,
S220,2.1448613608727207,1.849743767877938,5.2985023912666795
S221,0.5647804099346603,,
S222,4.09151777512956,,
S223,3.118391964150542,,1.10434902685514
S224,1.3472782950470725,,
S225,0.8706044612639431,,
S226,0.5977468133212209,,1.3158119237617538
S227,,,
S228,1.0894204269657588,,
S229,1.713901619103734,,
S230,,,
S231,0.7619702725450628,,
S232,0.36292906279719495,,
S233,1.5159354770757734,0.5788087118092358,0.6202043257005967
S234,0.9656123674712557,,
S235,0.5790335491455576,,
S236,,,
S237,0.7617004135627442,,
S238,1.3929565775307813,,
S239,,,
S240,0.9809311016888171,,
S241,0.8205031246809472,,
S242,0.9590255999776021,,
S243,3.685884065751303,,
S244,0.40934766924796195,,2.1999590735053602
S245,1.6040479228938431,,
S246,1.003412923033507,0.6700100686175242,
S247,1.923665061616188,,
S248,1.1100590768126088,,0.8171901668636108
S249,0.6649320652101136,,
S250,0.9140158002130937,,
S251,0.6340022237747844,0.4463220022949117,
S252,,,
S253,1.0572343904271095,,
S254,1.1713870068232306,,
S255,2.67757836230982,,
S256,1.566007286270254,,
S257,1.5245653692112549,,
S258,,,
S259,1.1731140802114228,,
S260,0.7725950875908696,,
S261,0.7043960651992038,,1.4179583759529721
S262,1.1530358559294676,,
S263,,,
S264,3.0007646969226975,,
S265,1.0752206730053342,0.5601086176792293,0.8980161828824356
S266,0.8472080407728887,,
S267,0.6435507548719761,,
S268,1.8638707155100795,,
S269,0.7704146921756555,0.4388971814064149,
S270,1.8554395292526202,,
S271,0.6862016640961234,,0.6563856764757792
S272,0.998888672637861,,
S273,2.7265875705877485,,
S274,2.167929504011883,,3.030828208140857
S275,0.8754540697533411,,
S276,0.8634473873179468,0.7317184612080647,
S277,1.0645140830539106,,
S278,0.7946610236829618,,
S279,,,
S280,4.235009141589549,,
S281,,,
S282,1.2286498000520862,,
S283,0.9424013556219016,,
S284,0.8802655906026617,,2.075760367628598
S285,0.4289484812084071,,0.42161512578409477
S286,,,
S287,3.2454544659041007,,
S288,7.149786830665159,,
S289,0.674272770687196,0.7693634391233538,
S290,0.9365356894008141,,1.8314126883514272
S291,,,
S292,1.7843282564009904,,
S293,0.43278591000298716,,
S294,0.9053753920830031,,
S295,,,
S296,1.307948911786311,,
S297,,,
S298,1.278462944734015,,1.0092550235103797
S299,5.195437833334729,,
S300,0.6032463823537515,,0.4782382947769651
S301,0.6700981678860924,,
S302,0.5138612264084162,,
S303,0.4540021139001862,,
S304,,,
S305,2.9709879150460834,,
S306,0.6512377885848577,,
S307,4.475891058475305,,
S308,1.3512105865940787,0.9866931505807811,0.5975050834988723
S309,1.7018138859932592,,1.5379643710928088
S310,1.020414745855261,,
S311,,,
S312,0.9782905265980608,,
S313,,,
S314,2.9988665309052243,,
S315,0.615290024530619,1.445690249886335,
S316,,,
S317,1.1826348222639422,,
S318,,,
S319,1.321209676244647,,
S320,0.6900493436104449,,
S321,1.2366912958310277,,0.9106814573274657
S322,2.441387304964647,,
S323,0.8950153838308508,,
S324,0.9051813419711621,,
S325,2.3316189494921242,,3.4425767443372104
S326,1.039931699093425,,
S327,2.0807209448617163,,
S328,1.0761431218692246,,
S329,0.4183393106069242,,
S330,0.4951167408900245,,
S331,0.6762554124024761,,
S332,0.5563708339623753,,
S333,1.117362632368215,,0.9246013477952817
S334,0.7853641395944893,,
S335,0.7912933373497337,,
S336,0.3526120978360814,,
S337,,,
S338,,,
S339,0.6700986544291385,,0.6895427974796118
S340,2.0781268461367177,,
S341,1.812996042371397,,
S342,0.62727353168447,,
S343,1.2361038246883185,,
S344,1.8907672355422438,,
S345,0.5981603909566355,,0.9428609478601289
S346,0.35750425907068784,,
S347,0.7978834778013159,,
S348,1.7923852340107431,,2.6090025994886026
S349,0.6763781904135101,,
S350,0.6651976134936841,,
S351,,,
S352,0.5048693500104162,,
S353,1.1579388356673712,,
S354,2.137231245221874,,
S355,0.455382820160645,,1.2134259219875592
S356,2.146274917211794,,
S357,0.5086504121684114,,
S358,0.3668783745125217,,0.6235726308121896
S359,,,
S360,0.8555245346197207,,
S361,0.9721514819052285,,
S362,0.5065521959482588,,0.825164480590345
S363,0.6273157383506756,,
S364,0.46435777605808204,,
S365,0.5096985284818014,,
S366,,,
S367,,,
S368,1.3966166701031626,,
S369,0.6133040082838839,,
S370,0.7152431207630336,,0.8044320633551472
S371,0.8900135253221579,,
S372,,,
S373,0.6023529253801518,,
S374,0.7224298406496412,,
S375,0.6299082577947405,,
S376,2.0346868088349277,,1.1392840857834705
S377,0.5376428305777398,,0.49539501790841917
S378,0.63979434848015,,
S379,,,
S380,0.9294009696301954,,
S381,0.6012972160811337,,
S382,0.9778244498079969,,
S383,0.8072134417239123,,
S384,0.6193262424188167,,
S385,0.8327667217607416,,
S386,0.5815475031619295,,
S387,1.0811029923142381,,1.4152565091193625
S388,0.5221979082470263,,
S389,0.4641842080833589,,
S390,0.852435023238708,,
S391,0.88193045037521,,
S392,,,
S393,4.785608035488931,,
S394,0.8048111125698666,,
S395,1.0386662523715195,,
S396,0.4399713435429594,,
S397,0.8540751472868786,,
S398,0.7809424232190432,,
S399,0.7057193855855185,,
S400,0.3450265858292765,,
S401,5.008471780976173,,
S402,0.8360761648191757,,
S403,0.9800471712465978,,
S404,0.5658718270198942,,
S405,1.5368735310524217,,0.6504980829319594
S406,1.2898432549409842,,
S407,0.8463292039765431,,
S408,1.0449598624388032,,
S409,0.70679864571679,,
S410,1.1301037263212947,,
S411,1.6514114482403734,,
S412,0.5039139414141616,,
S413,0.5200556669343409,,
S414,0.5629216513528481,,
S415,1.0598067107880689,,
S416,0.4800808433886937,,
S417,1.616013335821122,,
S418,,,
S419,0.5443374819748389,,
S420,0.9184112837053544,,1.0469494477396828
S421,0.5036080854596633,,2.2220358149323647
S422,,,
S423,0.8297033032981636,,
S424,2.0965280411774345,,1.120553826900355
S425,0.6042549924397437,,
S426,1.376567808282053,,
S427,1.1479491231902856,,
S428,0.9154811671083618,,
S429,0.6825264331401617,,
S430,0.5268020107605591,,
S431,0.6240506170800608,,
S432,2.153935220116593,,
S433,0.9323709684406088,,0.6308298560489422
S434,0.8074122435616073,,
S435,0.7586985073830539,,
S436,1.2278809075080268,,
S437,0.6640095180753176,,
S438,2.1321040779641054,,1.1249667119361306
S439,2.1382076010653064,,
S440,0.5914571985285246,,
S441,0.8141317943157678,,0.8353389779748698
S442,0.6441623401342949,,
S443,0.9852278598367571,,
S444,0.561375820609612,,
S445,0.4268823503042719,,
S446,1.1437167482391755,,
S447,1.1999516841477538,,
S448,0.764437378908524,,
S449,2.0191893055036365,,
S450,0.8284579208177842,,0.792598111193808
S451,0.4990541049513828,,
S452,0.8489949449065881,,
S453,2.892099945806297,,
S454,1.110972603181883,,
S455,2.1667036389130083,,
S456,,,
S457,,,
S458,0.6272620137956302,,0.4789041941410231
S459,,,
S460,0.9493577650471396,,
S461,0.6584497940096752,,
S462,,,
S463,0.6040430105709527,,
S464,6.935399878655689,,
S465,0.5081158626126069,,
